country,population,active_total,deaths_total,critical_total,icu_pct,death_pct,active_pct,strain_score_pct,priority
Faroe Islands,49233,34630,28,0,0.0,0.05687242296833425,70.33900026405053,7.050961753295554,HIGH
Andorra,77463,47850,165,0,0.0,0.21300491847720845,61.77142635839046,6.241044111382209,HIGH
Martinique,374087,229252,1102,0,0.0,0.2945838802203765,61.283070515682184,6.216682215634331,HIGH
Gibraltar,33704,20437,113,0,0.0,0.3352717778305246,60.63671967718965,6.164253501068123,HIGH
Luxembourg,642371,390000,1232,0,0.0,0.19178947991114167,60.712578867975054,6.128794730770848,HIGH
Iceland,345393,209677,229,0,0.0,0.06630128578170374,60.70678907794888,6.0905692935294,HIGH
Greece,10316637,6063510,37869,0,0.0,0.3670672914051352,58.77409469771982,5.987529657193523,HIGH
Liechtenstein,38387,21480,94,0,0.0,0.2448745669106729,55.95644358767291,5.669106728840493,HIGH
St. Barth,9945,5501,6,0,0.0,0.06033182503770739,55.31422825540473,5.5495223730517855,HIGH
Réunion,908061,493674,921,0,0.0,0.10142490427405208,54.365730936578046,5.467000564940021,HIGH
Guadeloupe,399794,202214,1021,0,0.0,0.255381521483564,50.57954846746075,5.134569303191144,HIGH
Estonia,1321910,625069,3001,0,0.0,0.22701999379685453,47.285291736956374,4.796635171834693,MEDIUM
Georgia,3968738,1844533,17132,0,0.0,0.43167374616313803,46.476562574803374,4.777158381329279,MEDIUM
Isle Of Man,85732,37892,116,0,0.0,0.13530537022348715,44.1981990388653,4.4604115149535755,MEDIUM
Monaco,39783,17114,67,0,0.0,0.16841364401880202,43.018374682653395,4.35236156147098,MEDIUM
Cayman Islands,67277,22882,37,1,0.0014863920805029951,0.054996506978610825,34.01162358606953,3.4185531459488385,MEDIUM
Saint Martin,39730,12261,63,0,0.0,0.15857034986156557,30.86081047067707,3.1336521520261766,MEDIUM
Wallis And Futuna,10982,3104,8,0,0.0,0.072846476051721,28.264432708067748,2.8482972136222915,MEDIUM
French Guiana,314169,86367,420,6,0.0019098001394154101,0.1336860097590787,27.490618106815123,2.790313493692885,MEDIUM
New Caledonia,290915,79750,314,0,0.0,0.1079353075640651,27.413505663166216,2.7737311585858415,MEDIUM
